salary,name,total_value,pos,years,avg_annual,team
68000,Ken Griffey Jr.,68000,OF,1989,68000,SEA
180000,Ken Griffey Jr.,180000,OF,1990,180000,SEA
535000,Ken Griffey Jr.,535000,OF,1991,535000,SEA
2000000,Ken Griffey Jr.,2000000,OF,1992,2000000,SEA
4000000,Ken Griffey Jr.,4000000,OF,1993,4000000,SEA
5000000,Ken Griffey Jr.,5000000,OF,1994,5000000,SEA
7500000,Ken Griffey Jr.,7500000,OF,1995,7500000,SEA
7500000,Ken Griffey Jr.,7500000,OF,1996,7500000,SEA
7875000,Ken Griffey Jr.,7875000,OF,1997,7875000,SEA
8010532,Ken Griffey Jr.,8010532,OF,1998,8010532,SEA
8760532,Ken Griffey Jr.,8760532,OF,1999,8760532,SEA
7000000,Ken Griffey Jr.,7000000,OF,2000,7000000,CIN
12500000,Ken Griffey Jr.,12500000,OF,2001,12500000,CIN
8557223,Ken Griffey Jr.,8557223,OF,2002,8557223,CIN
12500000,Ken Griffey Jr.,12500000,OF,2003,12500000,CIN
12500000,Ken Griffey Jr.,12500000,OF,2004,12500000,CIN
12500000,Ken Griffey Jr.,12500000,OF,2005,12500000,CIN
10464686,Ken Griffey Jr.,10464686,OF,2006,10464686,CIN
8446647,Ken Griffey Jr.,8446647,OF,2007,8446647,CIN
8282695,Ken Griffey Jr.,8282695,OF,2008,8282695,CIN
2000000,Ken Griffey Jr.,2000000,OF,2009,2000000,SEA
2350000,Ken Griffey Jr.,2350000,OF,2010,2350000,SEA
